event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours,rule_count,rule_decision,rule_reason
wazuh-1788729150.2741793,2026-09-06T21:12:30.404000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729157.2744372,2026-09-06T21:12:37.128000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,35,0,0,108,3,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729171.2745274,2026-09-06T21:12:51.881000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729193.2746202,2026-09-06T21:13:13.163000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,35,0,0,108,3,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729195.2746645,2026-09-06T21:13:15.121000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,31,12,7,1,18,0,0,79,10,21,6,1,13,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729197.2747087,2026-09-06T21:13:17.134000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,32,13,7,1,18,0,0,79,10,21,6,1,14,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729199.2747529,2026-09-06T21:13:19.140000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,33,14,7,1,18,0,0,79,10,21,6,1,15,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729210.2751224,2026-09-06T21:13:30.473000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729212.2753428,2026-09-06T21:13:32.164000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,34,0,0,108,3,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729215.2753871,2026-09-06T21:13:35.175000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,33,15,7,1,18,0,0,80,10,21,6,1,16,aggregate,same rule repeated >= 10 times in 5 minutes
