event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours,rule_count,rule_decision,rule_reason
wazuh-1788711251.949946,2026-09-06T16:14:11.978000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,6,0,1,ml_candidate,rule is not deterministic enough
wazuh-1788711251.950388,2026-09-06T16:14:11.978000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,3,16,6,0,2,ml_candidate,rule is not deterministic enough
wazuh-1788711252.950840,2026-09-06T16:14:12.112000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,2,0,0,2,3,16,6,0,3,ml_candidate,rule is not deterministic enough
wazuh-1788711252.951282,2026-09-06T16:14:12.150000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,3,0,0,3,3,16,6,0,4,ml_candidate,rule is not deterministic enough
wazuh-1788711253.951724,2026-09-06T16:14:13.964000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,0,4,0,0,4,3,16,6,0,5,ml_candidate,rule is not deterministic enough
wazuh-1788711269.952166,2026-09-06T16:14:29.994000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,5,5,1,0,5,0,0,5,3,16,6,0,6,ml_candidate,rule is not deterministic enough
wazuh-1788711282.952608,2026-09-06T16:14:42.626000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,6,6,1,0,6,0,0,6,3,16,6,0,7,ml_candidate,rule is not deterministic enough
wazuh-1788711294.953050,2026-09-06T16:14:54.666000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,7,7,1,0,7,0,0,7,3,16,6,0,8,ml_candidate,rule is not deterministic enough
wazuh-1788711313.953492,2026-09-06T16:15:13.349000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,46600,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,6,0,1,ml_candidate,rule is not deterministic enough
wazuh-1788711314.954040,2026-09-06T16:15:14.686000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,8,8,1,0,8,0,0,8,3,16,6,0,9,ml_candidate,rule is not deterministic enough
wazuh-1788711317.954482,2026-09-06T16:15:17.356000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,46616,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,5,16,6,0,2,ml_candidate,rule is not deterministic enough
wazuh-1788711318.955030,2026-09-06T16:15:18.574000Z,lab-sensor-01,80730,3,audit|audit_selinux,auditd,none,/var/log/audit/audit.log,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,0,0,2,5,16,6,0,1,ml_candidate,rule is not deterministic enough
wazuh-1788711318.956554,2026-09-06T16:15:18.576000Z,lab-sensor-01,80730,3,audit|audit_selinux,auditd,none,/var/log/audit/audit.log,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2,0,2,0,0,2,5,16,6,0,2,ml_candidate,rule is not deterministic enough
wazuh-1788711318.957953,2026-09-06T16:15:18.582000Z,lab-sensor-01,80730,3,audit|audit_selinux,auditd,none,/var/log/audit/audit.log,0,0,0,0,0,0,0,1,1,0,0,0,4,2,2,0,2,0,0,2,5,16,6,0,3,ml_candidate,rule is not deterministic enough
wazuh-1788711318.959657,2026-09-06T16:15:18.669000Z,lab-sensor-01,92603,6,audit_detections,auditd,T1021.004,/var/log/audit/audit.log,0,0,0,0,0,0,0,1,1,0,0,0,5,0,2,0,2,0,0,2,5,16,6,0,1,ml_candidate,rule is not deterministic enough
