event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours
wazuh-1788730942.2914142,2026-09-06T21:42:22.637000Z,lab-sensor-01,31516,6,appsec|attack|web,web-accesslog,T1055,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,21,3,6,0,6,0,0,65,6,21,6,1
wazuh-1788730956.2914585,2026-09-06T21:42:36.519000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,109,3,21,6,1
wazuh-1788730968.2915028,2026-09-06T21:42:48.773000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,109,3,21,6,1
wazuh-1788730978.2915471,2026-09-06T21:42:58.847000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,37,0,0,109,3,21,6,1
wazuh-1788730988.2915914,2026-09-06T21:43:08.816000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,37,0,0,110,3,21,6,1
wazuh-1788730988.2916357,2026-09-06T21:43:08.955000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,52168,0,1,0,0,0,1,0,0,0,1,0,17,0,6,0,3,0,0,63,6,21,6,1
wazuh-1788730990.2916906,2026-09-06T21:43:10.957000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,54416,0,1,0,0,0,1,0,0,0,1,0,18,1,6,0,4,0,0,64,6,21,6,1
wazuh-1788730994.2917455,2026-09-06T21:43:14.964000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,54432,0,1,0,0,0,1,0,0,0,1,0,19,2,6,0,5,0,0,65,6,21,6,1
wazuh-1788731006.2918004,2026-09-06T21:43:26.868000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,37,0,0,110,3,21,6,1
wazuh-1788731016.2918447,2026-09-06T21:43:36.998000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,37,0,0,110,3,21,6,1
wazuh-1788731017.2918890,2026-09-06T21:43:37.000000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,36692,0,1,0,0,0,1,0,0,0,1,0,20,3,6,0,6,0,0,65,6,21,6,1
wazuh-1788731021.2919439,2026-09-06T21:43:41.002000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,38120,0,1,0,0,0,1,0,0,0,1,0,21,4,6,0,7,0,0,66,6,21,6,1
